ENSG00000159082	ENSG00000078053
ENSG00000159082	ENSG00000141985
ENSG00000078053	ENSG00000106976
ENSG00000106976	ENSG00000141985
ENSG00000183386	ENSG00000115641
ENSG00000085832	ENSG00000085832
ENSG00000166508	ENSG00000115641
ENSG00000169083	ENSG00000115641
ENSG00000115904	ENSG00000136754
ENSG00000097007	ENSG00000112290
ENSG00000113558	ENSG00000166167
ENSG00000113558	ENSG00000151876
ENSG00000113558	ENSG00000005812
ENSG00000113558	ENSG00000119402
ENSG00000113558	ENSG00000100225
ENSG00000152818	ENSG00000134769
ENSG00000102385	ENSG00000134769
ENSG00000198947	ENSG00000134769
ENSG00000152818	ENSG00000173402
ENSG00000078061	ENSG00000145675
ENSG00000185624	ENSG00000123500
ENSG00000179218	ENSG00000167004
ENSG00000185624	ENSG00000197930
ENSG00000129315	ENSG00000136807
ENSG00000012048	ENSG00000114030
ENSG00000070756	ENSG00000197111
ENSG00000070756	ENSG00000169564
ENSG00000143801	ENSG00000115641
ENSG00000159216	ENSG00000018408
ENSG00000108953	ENSG00000018408
ENSG00000065054	ENSG00000018408
ENSG00000158186	ENSG00000130396
ENSG00000135775	ENSG00000136152
ENSG00000096968	ENSG00000012048
ENSG00000162434	ENSG00000012048
ENSG00000166349	ENSG00000114030
ENSG00000108953	ENSG00000198909
ENSG00000108953	ENSG00000095015
ENSG00000108953	ENSG00000169967
ENSG00000140443	ENSG00000166913
ENSG00000140443	ENSG00000164924
ENSG00000085832	ENSG00000205726
ENSG00000085832	ENSG00000133961
ENSG00000085832	ENSG00000173744
ENSG00000103479	ENSG00000101773
ENSG00000159692	ENSG00000101773
ENSG00000136068	ENSG00000143801
ENSG00000136068	ENSG00000080815
ENSG00000196924	ENSG00000080815
ENSG00000196924	ENSG00000143801
